ISIN,coupon,issue date,maturity date,2022-01-10 00:00:00,2022-01-11 00:00:00,2022-01-12 00:00:00,2022-01-13 00:00:00,2022-01-14 00:00:00,2022-01-17 00:00:00,2022-01-18 00:00:00,2022-01-19 00:00:00,2022-01-20 00:00:00,2022-01-21 00:00:00
CA135087K866,0.015,2020-01-27,2022-05-01,100.6458904109589,100.64,100.6441095890411,100.62821917808219,100.62232876712329,100.60465753424657,100.59876712328767,100.60287671232877,100.59698630136987,100.61109589041095
CA135087L369,0.0025,2020-08-17,2022-11-01,99.5986301369863,99.58931506849315,99.57,99.57068493150685,99.5513698630137,99.48342465753426,99.4541095890411,99.47479452054795,99.4854794520548,99.51616438356164
CA135087L856,0.0025,2021-02-05,2023-05-01,99.13,99.12068493150684,99.1013698630137,99.09205479452055,99.0627397260274,98.95479452054795,98.90547945205479,98.92616438356166,98.9268493150685,98.97753424657535
CA135087M763,0.005,2021-08-09,2023-11-01,99.0686301369863,99.05999999999999,99.03136986301371,99.01273972602739,98.9841095890411,98.8382191780822,98.77958904109589,98.7609589041096,98.77232876712328,98.83369863013698
CA135087J546,0.0225,2018-10-05,2024-03-01,103.13602739726028,103.14219178082192,103.09835616438356,103.06452054794521,103.03068493150685,102.85917808219178,102.78534246575342,102.78150684931508,102.76767123287671,102.86383561643835
CA135087J967,0.015,2019-04-05,2024-09-01,101.10657534246576,101.18068493150685,101.17479452054795,101.13890410958903,101.08301369863014,100.86534246575343,100.78945205479451,100.73356164383563,100.75767123287672,100.8617808219178
CA135087K528,0.0125,2019-10-11,2025-03-01,100.10232876712328,100.13575342465754,100.07917808219177,100.06260273972603,99.96602739726026,99.73630136986301,99.60972602739726,99.6031506849315,99.59657534246574,99.76
CA135087K940,0.005,2020-04-03,2025-09-01,96.84356164383561,96.90493150684931,96.95630136986301,96.9576712328767,96.86904109589042,96.62315068493152,96.45452054794521,96.34589041095892,96.3872602739726,96.5086301369863
CA135087L518,0.0025,2020-10-09,2026-03-01,95.2031506849315,95.26383561643836,95.21452054794521,95.23520547945205,95.13589041095891,94.84794520547945,94.6286301369863,94.59931506849315,94.61999999999999,94.80068493150685
CA135087L930,0.01,2021-04-16,2026-09-01,98.02986301369863,98.07260273972604,98.04534246575342,98.06808219178082,97.97082191780822,97.6290410958904,97.4117808219178,97.3545205479452,97.3972602739726,97.62
