ISIN,coupon,issue date,maturity date,2022-01-10 00:00:00,2022-01-11 00:00:00,2022-01-12 00:00:00,2022-01-13 00:00:00,2022-01-14 00:00:00,2022-01-17 00:00:00,2022-01-18 00:00:00,2022-01-19 00:00:00,2022-01-20 00:00:00,2022-01-21 00:00:00
CA135087K866,0.015,2020-01-27,2022-05-01,100.35,100.34,100.34,100.32,100.31,100.28,100.27,100.27,100.26,100.27
CA135087L369,0.0025,2020-08-17,2022-11-01,99.55,99.54,99.52,99.52,99.5,99.43,99.4,99.42,99.43,99.46
CA135087L856,0.0025,2021-02-05,2023-05-01,99.08,99.07,99.05,99.04,99.01,98.9,98.85,98.87,98.87,98.92
CA135087M763,0.005,2021-08-09,2023-11-01,98.97,98.96,98.93,98.91,98.88,98.73,98.67,98.65,98.66,98.72
CA135087J546,0.0225,2018-10-05,2024-03-01,102.31,102.31,102.26,102.22,102.18,101.99,101.91,101.9,101.88,101.97
CA135087J967,0.015,2019-04-05,2024-09-01,100.56,100.63,100.62,100.58,100.52,100.29,100.21,100.15,100.17,100.27
CA135087K528,0.0125,2019-10-11,2025-03-01,99.64,99.67,99.61,99.59,99.49,99.25,99.12,99.11,99.1,99.26
CA135087K940,0.005,2020-04-03,2025-09-01,96.66,96.72,96.77,96.77,96.68,96.43,96.26,96.15,96.19,96.31
CA135087L518,0.0025,2020-10-09,2026-03-01,95.11,95.17,95.12,95.14,95.04,94.75,94.53,94.5,94.52,94.7
CA135087L930,0.01,2021-04-16,2026-09-01,97.66,97.7,97.67,97.69,97.59,97.24,97.02,96.96,97.0,97.22
