ISIN,coupon,issue date,maturity date,2022-01-10 00:00:00,2022-01-11 00:00:00,2022-01-12 00:00:00,2022-01-13 00:00:00,2022-01-14 00:00:00,2022-01-17 00:00:00,2022-01-18 00:00:00,2022-01-19 00:00:00,2022-01-20 00:00:00,2022-01-21 00:00:00
CA135087K866,0.015,2020-01-27,2022-05-01,0.0033996957151228254,0.0036248079477420366,0.003521326312495499,0.004087573382322004,0.00432546099766062,0.0050666445830887,0.005323324682183239,0.005229333601019011,0.005492711002421986,0.005035730245491991
CA135087L369,0.0025,2020-08-17,2022-11-01,0.008073950431286689,0.008217585127557056,0.008487628734831094,0.008507838758708587,0.008780624869419757,0.009738183937885435,0.010147305685754598,0.009917110410590332,0.009814083066734178,0.009452023609630862
CA135087L856,0.0025,2021-02-05,2023-05-01,0.009587294717873595,0.009679723818941903,0.009850443278093982,0.009943841250567695,0.010194045247464215,0.011109045866607383,0.011522191317248718,0.011383254568834005,0.011402293401158366,0.011024182026495875
CA135087M763,0.005,2021-08-09,2023-11-01,0.010730322468957762,0.01079487796592629,0.010972356850301731,0.011094028486180029,0.01127230035240217,0.012152034865721674,0.012504167321993151,0.012630581454646093,0.01258495788821782,0.012253735186276116
CA135087J546,0.0225,2018-10-05,2024-03-01,0.011437931022245199,0.011421604917424793,0.01164107351791501,0.011814692335373855,0.01198667142141791,0.012836075821215183,0.013199387318004876,0.013236368979241202,0.013321063179284281,0.012883415579311051
CA135087J967,0.015,2019-04-05,2024-09-01,0.012774614139744615,0.01249912304646431,0.012531926733546155,0.012682468548444126,0.01291021488055332,0.013788395214986407,0.014094492947225598,0.014329739619088816,0.01424988547383666,0.013862035264949031
CA135087K528,0.0125,2019-10-11,2025-03-01,0.013619973486770515,0.013522349013789974,0.01371909361577218,0.013783717316487136,0.014112703756240333,0.014900480667483961,0.01533049602458705,0.015365292473196231,0.015401406635005185,0.01487485398991891
CA135087K940,0.005,2020-04-03,2025-09-01,0.014391961801977859,0.014226246665499966,0.014087474917938528,0.014093220051259497,0.014358204581679537,0.015097778502419754,0.015597180143288916,0.015925684977602158,0.015817044731351582,0.015478249151192107
CA135087L518,0.0025,2020-10-09,2026-03-01,0.014666268804665004,0.01452080793301843,0.014656607762287735,0.014612804124140566,0.014876696301214055,0.015645827816418663,0.01622238457548226,0.016308782522427658,0.01626612879984403,0.015809975133287708
CA135087L930,0.01,2021-04-16,2026-09-01,0.015192135154194562,0.01510511434325623,0.015174887884563733,0.015130293541259766,0.015358220502171787,0.0161595221059811,0.016664439806927858,0.016805528440789176,0.016716922203244604,0.016217973295261374
