ISIN,coupon,issue date,maturity date,2022-01-10 00:00:00,2022-01-11 00:00:00,2022-01-12 00:00:00,2022-01-13 00:00:00,2022-01-14 00:00:00,2022-01-17 00:00:00,2022-01-18 00:00:00,2022-01-19 00:00:00,2022-01-20 00:00:00,2022-01-21 00:00:00
CA135087K866,0.015,2020-01-27,2022-05-01,0.0020688294110388712,0.0021860095399453775,0.0021042545150700607,0.0024204109535567796,0.0025376322430799144,0.002889378471443666,0.0030066546755333967,0.002924832619681331,0.0030421129758590403,0.0027612085607373626
CA135087L369,0.0025,2020-08-17,2022-11-01,0.006533376574927359,0.006627273481080371,0.0068220134807664146,0.006815106836566139,0.007009901522053998,0.007695587638507998,0.007991645073276562,0.007782731135301486,0.0076748408589234615,0.007365098765939759
CA135087L856,0.0025,2021-02-05,2023-05-01,0.008348488465702743,0.008411478369485607,0.008542114959791238,0.008605129148694738,0.008803490101771174,0.009534579148511746,0.009868933476460364,0.00972866333028032,0.00972401929292004,0.00938047954862535
CA135087M763,0.005,2021-08-09,2023-11-01,0.009713529342033091,0.009757464599503551,0.009903252430473493,0.009998147522541575,0.010144022573193426,0.010888179215545923,0.011187627191386848,0.011282825518959757,0.011224723863798096,0.0109112595734529
CA135087J546,0.0225,2018-10-05,2024-03-01,0.009771432141525312,0.009746877946556229,0.009921524377087067,0.01005639142405181,0.010191312386120678,0.010876033990745354,0.011171242462434752,0.011186585021659336,0.011241933617590866,0.010857420957432019
CA135087J967,0.015,2019-04-05,2024-09-01,0.011238531795000893,0.010988357583407958,0.01100823412197596,0.011129371874851251,0.011318114998679785,0.012054371983830987,0.012311507032158085,0.012501023510624978,0.012419256076449284,0.012066434582731694
CA135087K528,0.0125,2019-10-11,2025-03-01,0.01220045466442312,0.012102687966708653,0.01226819226680191,0.012316701927334727,0.01259952587548379,0.01327355820914319,0.013645707207103803,0.01366505457369189,0.013684403414230547,0.013203941700638686
CA135087K940,0.005,2020-04-03,2025-09-01,0.013125924738984017,0.012965091894874011,0.012830554788430846,0.012826968236591331,0.013059136389564957,0.013704511254512398,0.014148180740359895,0.014434454087745659,0.014325388908233058,0.014005721674514634
CA135087L518,0.0025,2020-10-09,2026-03-01,0.013523287347935828,0.01337999415313314,0.013496432340586242,0.01344758480387086,0.013682225706484327,0.014364069323954889,0.014884949501514063,0.014954675678701235,0.014905473865091239,0.014476200371951933
CA135087L930,0.01,2021-04-16,2026-09-01,0.0140946083331431,0.014004808895962152,0.014062079770253562,0.014014304846540013,0.014218730134184737,0.014938899491123077,0.015398155731115042,0.015519386002348782,0.015428890802767398,0.014957988269036208
